chemin, class, classe_LOC, classe_CLOC, classe_DC 
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DefaultValueDataset.java,DefaultValueDataset,128,86,0.671875
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\SeriesChangeEvent.java,SeriesChangeEvent,58,49,0.8448276
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\SeriesException.java,SeriesException,58,50,0.86206895
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\WaferMapDataset.java,WaferMapDataset,273,164,0.6007326
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\io\CSV.java,CSV,186,95,0.5107527
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONArray.java,JSONArray,144,72,0.5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONObject.java,JSONObject,175,90,0.51428574
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONValue.java,JSONValue,314,159,0.5063694
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json\JSONUtils.java,JSONUtils,187,85,0.45454547
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyedObject.java,KeyedObject,135,81,0.6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyedObjects.java,KeyedObjects,315,166,0.52698416
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyedObjects2D.java,KeyedObjects2D,462,220,0.47619048
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyedValueComparator.java,KeyedValueComparator,151,67,0.4437086
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyedValues2DItemKey.java,KeyedValues2DItemKey,141,71,0.5035461
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyedValuesItemKey.java,KeyedValuesItemKey,107,59,0.55140185
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\KeyToGroupMap.java,KeyToGroupMap,287,129,0.44947734
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources.java,DataPackageResources,62,50,0.8064516
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_de.java,DataPackageResources,62,50,0.8064516
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_es.java,DataPackageResources,62,50,0.8064516
